id,name,tagline,description,longDescription,price,category,imageUrl,features
prod-104,Aura 클래식 글래스 104,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 글래스 104은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 글래스 104은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",670000,Wearable,https://picsum.photos/seed/104/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-105,Aura 현대적인 태블릿 105,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 태블릿 105은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 태블릿 105은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",480000,Mobile,https://picsum.photos/seed/105/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-106,Aura 우아한 글래스 106,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 글래스 106은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 글래스 106은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",210000,Wearable,https://picsum.photos/seed/106/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-107,Aura 프리미엄 폰 107,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 폰 107은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 폰 107은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",750000,Mobile,https://picsum.photos/seed/107/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-108,Aura 클래식 스피커 108,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 스피커 108은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 스피커 108은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",300000,Audio,https://picsum.photos/seed/108/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-109,Aura 혁신적인 스피커 109,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 스피커 109은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 스피커 109은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",950000,Audio,https://picsum.photos/seed/109/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-110,Aura 스마트 글래스 110,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 글래스 110은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 글래스 110은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",460000,Wearable,https://picsum.photos/seed/110/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-111,Aura 프리미엄 오브제 111,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 오브제 111은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 오브제 111은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",640000,Home,https://picsum.photos/seed/111/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-112,Aura 클래식 스피커 112,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 스피커 112은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 스피커 112은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",650000,Audio,https://picsum.photos/seed/112/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-113,Aura 우아한 램프 113,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 램프 113은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 램프 113은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",540000,Home,https://picsum.photos/seed/113/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-114,Aura 미니멀 가구 114,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 가구 114은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 가구 114은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",650000,Home,https://picsum.photos/seed/114/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-115,Aura 우아한 태블릿 115,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 태블릿 115은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 태블릿 115은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",820000,Mobile,https://picsum.photos/seed/115/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-116,Aura 진보된 오브제 116,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 오브제 116은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 오브제 116은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",420000,Home,https://picsum.photos/seed/116/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-117,Aura 진보된 충전기 117,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 충전기 117은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 충전기 117은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",800000,Mobile,https://picsum.photos/seed/117/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-118,Aura 자연스러운 램프 118,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 램프 118은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 램프 118은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",540000,Home,https://picsum.photos/seed/118/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-119,Aura 자연스러운 오브제 119,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 오브제 119은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 오브제 119은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",390000,Home,https://picsum.photos/seed/119/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-120,Aura 고급 글래스 120,고급 디자인과 최첨단 기술의 만남,Aura 고급 글래스 120은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 글래스 120은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",520000,Wearable,https://picsum.photos/seed/120/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-121,Aura 혁신적인 이어버드 121,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 이어버드 121은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 이어버드 121은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",310000,Audio,https://picsum.photos/seed/121/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-122,Aura 진보된 스피커 122,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 스피커 122은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 스피커 122은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",350000,Audio,https://picsum.photos/seed/122/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-123,Aura 미니멀 램프 123,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 램프 123은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 램프 123은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",180000,Home,https://picsum.photos/seed/123/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-124,Aura 고급 폰 124,고급 디자인과 최첨단 기술의 만남,Aura 고급 폰 124은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 폰 124은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",610000,Mobile,https://picsum.photos/seed/124/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-125,Aura 스마트 램프 125,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 램프 125은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 램프 125은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",620000,Home,https://picsum.photos/seed/125/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-126,Aura 자연스러운 오브제 126,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 오브제 126은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 오브제 126은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",590000,Home,https://picsum.photos/seed/126/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-127,Aura 클래식 오브제 127,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 오브제 127은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 오브제 127은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",640000,Home,https://picsum.photos/seed/127/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-128,Aura 클래식 충전기 128,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 충전기 128은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 충전기 128은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",810000,Mobile,https://picsum.photos/seed/128/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-129,Aura 우아한 워치 129,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 워치 129은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 워치 129은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",940000,Wearable,https://picsum.photos/seed/129/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-130,Aura 우아한 헤드폰 130,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 헤드폰 130은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 헤드폰 130은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",700000,Audio,https://picsum.photos/seed/130/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-131,Aura 혁신적인 스피커 131,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 스피커 131은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 스피커 131은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",260000,Audio,https://picsum.photos/seed/131/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-132,Aura 자연스러운 충전기 132,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 충전기 132은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 충전기 132은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",250000,Mobile,https://picsum.photos/seed/132/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-133,Aura 혁신적인 액세서리 133,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 액세서리 133은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 액세서리 133은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",650000,Mobile,https://picsum.photos/seed/133/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-134,Aura 클래식 글래스 134,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 글래스 134은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 글래스 134은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",740000,Wearable,https://picsum.photos/seed/134/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
